Seed,Team,Record,Previous Seed
1,Boston Celtics,64-18,2.0
2,Denver Nuggets,57-25,4.0
3,Oklahoma City Thunder,57-25,20.0
4,Minnesota Timberwolves,56-26,15.0
5,Los Angeles Clippers,51-31,12.0
6,Dallas Mavericks,50-32,21.0
7,New York Knicks,50-32,8.0
8,Milwaukee Bucks,49-33,1.0
9,New Orleans Pelicans,49-33,16.0
10,Phoenix Suns,49-33,10.0
11,Cleveland Cavaliers,48-34,5.0
12,Indiana Pacers,47-35,23.0
13,Los Angeles Lakers,47-35,14.0
14,Orlando Magic,47-35,25.0
15,Philadelphia 76ers,47-35,3.0
16,Miami Heat,46-36,13.0
17,Golden State Warriors,46-36,11.0
18,Sacramento Kings,46-36,7.0
19,Houston Rockets,41-41,28.0
20,Chicago Bulls,39-43,19.0
21,Atlanta Hawks,36-46,17.0
22,Brooklyn Nets,32-50,9.0
23,Utah Jazz,31-51,22.0
24,Memphis Grizzlies,27-55,6.0
25,Toronto Raptors,25-57,18.0
26,San Antonio Spurs,22-60,29.0
27,Charlotte Hornets,21-61,27.0
28,Portland Trail Blazers,21-61,26.0
29,Washington Wizards,15-67,24.0
30,Detroit Pistons,14-68,30.0
